;StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
2674;2177;5;0;-5.118;0;4.23;13;18;4e-05;...........((((..((....)).))))....(.....).......(..(((((......)))))..)......
2675;2197;5;0;-5.115;0;3.42;13;26;4e-05;...........((((...........)))).........(((.........(((((.(...)))))))))......
2676;2198;5;0;-5.115;0;3.48;13;29;4e-05;...........((((...........)))).........(((.........((((.((...)))))))))......
2677;2215;5;0;-5.107;0;5.18;15;38;3.9e-05;..(((........((((....))))........)))...(((.........(((((......))))))))......
2678;2220;5;0;-5.108;0;3.48;11;22;3.9e-05;...........((((...........)))).........(((..........((((......)))).)))......
2679;2228;5;0;-5.103;0;4.19;18;24;3.9e-05;..((...))..((((.(((....))))))).........(((.........(((((.(...)))))))))......
2680;2229;5;0;-5.103;0;4.25;18;27;3.9e-05;..((...))..((((.(((....))))))).........(((.........((((.((...)))))))))......
2681;2241;5;0;-5.105;0;5.8;17;20;3.9e-05;..((...))..((((.(((....)))))))...((.....))......(..(((((......)))))..)......
2682;2257;5;0;-5.095;0;4.29;16;20;3.9e-05;..((...))..((((.(((....))))))).........(((..........((((......)))).)))......
2683;2275;5;0;-5.093;0;3.94;13;29;3.8e-05;...........((((..((....)).)))).........(((.....((..((........))..)))))......
2684;2284;5;0;-5.088;0;3.38;16;19;3.8e-05;...........((((.(((....))))))).........(((.........(((((......))))))))(...).
2685;2285;5;0;-5.088;0;5.84;13;35;3.8e-05;..............(((....)))....((.....))..(((.........(((((......))))))))......
2686;2292;5;0;-5.083;0;3.35;16;23;3.8e-05;..(.....)..((((.(((....))))))).......(.(((.........((((........))))))).)....
2687;2298;5;0;-5.085;0;4.11;17;25;3.8e-05;..((...))..((((.((......)))))).......(.(((.........(((((......)))))))).)....
2688;2299;5;0;-5.085;0;3.33;15;20;3.8e-05;...........((((.((......))))))..(...)..(((.........(((((......))))))))......
2689;2341;5;0;-5.073;0;2.71;16;19;3.7e-05;..........(((((.(((....)))))))..)......(((.........(((((......))))))))......
2690;2364;5;0;-5.065;0;3.79;15;28;3.7e-05;...........((((.(((....))))))).........(((.....((..(((.....).))..)))))......
2691;2378;5;0;-5.061;0;3.27;19;22;3.6e-05;..(((......((((.(((....)))))))...))).(.(((.........(((((......)))))))).)....
2692;2391;5;0;-5.057;0;3.32;20;24;3.6e-05;..(((...(..((((.(((....))))))).).))).(.(((.........(((((......)))))))).)....
2693;2424;5;0;-5.05;0;2.61;18;21;3.6e-05;...........((((.(((....))))))).....(((.(((.........(((((......)))))))).)..))
2694;2435;5;0;-5.043;0;3.51;17;21;3.5e-05;..(.....)(.((((.(((....)))))))..)......(((.........(((((......))))))))......
2695;2437;5;0;-5.044;0;4.78;14;26;3.5e-05;..(.....)..((((...........))))..(...)..(((.........(((((......))))))))......
2696;2445;5;0;-5.045;0;3.06;15;28;3.5e-05;...........((((((....))...)))).......(.(((.........(((((......)))))))).)....
2697;2472;5;0;-5.037;0;3.48;15;22;3.5e-05;.....(....)((((..((....)).)))).........(((.........(((((......))))))))......
2698;2494;5;0;-5.034;0;3.81;14;24;3.5e-05;..(.....)..((((..(......).)))).........(((.........(((((......))))))))......
2699;2515;5;0;-5.024;0;3.3;12;27;3.4e-05;...........((((...........)))).......(.(((.........((((........))))))).)....
2700;2524;5;0;-5.026;0;2.59;16;19;3.4e-05;...........((((.(((....)))))))........((((.........(((((......))))))).))....
2701;2525;5;0;-5.026;0;2.53;16;19;3.4e-05;...........((((.(((....)))))))........((((.........(((((......)))))))).)....
2702;2533;5;0;-5.02;0;2.79;16;19;3.4e-05;.........(.((((.(((....)))))))....)....(((.........(((((......))))))))......
2703;2554;5;0;-5.018;0;3.94;14;37;3.4e-05;..........(..((((....)))).)..........(.(((.........(((((......)))))))).)....
2704;2589;5;0;-5.011;0;4.11;17;25;3.3e-05;..((...))..((((.(((....))))))).......(.(((.........((((........))))))).)....
2705;2591;5;0;-5.012;0;3.33;15;20;3.3e-05;...........((((.(((....)))))))..(...)..(((.........((((........)))))))......
2706;2593;5;0;-5.004;0;2.62;16;22;3.3e-05;.........(.(((..(((....))).)))..)....(.(((.........(((((......)))))))).)....
2707;2594;5;0;-5.004;0;3.53;16;29;3.3e-05;.........(.((((...........))))..)..(((.(((.........(((((......))))))))...)))
2708;2607;5;0;-5.0;0;1.71;16;19;3.3e-05;...........((((.(((....))))))).......(.(((..(.....).((((......)))).))).)....
2709;2659;5;0;-4.991;0;3.44;18;23;3.2e-05;...(...)...((((.(((....)))))))......((.(((.........(((((......))))))))...)).
2710;2690;5;0;-4.983;0;2.74;17;21;3.2e-05;.........(.((((.(((....)))))))..)......(((.........(((((.(...)))))))))......
2711;2691;5;0;-4.983;0;2.8;17;24;3.2e-05;.........(.((((.(((....)))))))..)......(((.........((((.((...)))))))))......
2712;2696;5;0;-4.977;0;3.74;17;35;3.2e-05;...........((((((....))))...)).....(((.(((.........(((((......))))))))...)))
2713;2720;5;0;-4.976;0;2.76;15;17;3.2e-05;.........(.((((.(((....)))))))..)......(((..........((((......)))).)))......
2714;2728;5;0;-4.97;0;4.22;14;16;3.1e-05;...........((((.(((....)))))))..(.......).......(..(((((......)))))..)......
2715;2739;5;0;-4.972;0;4.25;18;23;3.1e-05;..((...))(.((((.(((....)))))))..)......(((.........(((((......))))))))......
2716;2740;5;0;-4.972;0;5.55;15;28;3.1e-05;..((...))..((((...........))))..(...)..(((.........(((((......))))))))......
2717;2744;5;0;-4.966;0;2.62;16;22;3.1e-05;.........(.((((.((......))))))..)....(.(((.........(((((......)))))))).)....
2718;2756;5;0;-4.967;0;3.03;13;22;3.1e-05;...........((((.(........))))).........(((.........(((((......))))))))......
2719;2765;5;0;-4.962;0;4.61;15;26;3.1e-05;..((...))..((((..(......).)))).........(((.........(((((......))))))))......
2720;2768;5;0;-4.964;0;3.57;17;33;3.1e-05;...........((((((....)))...))).....(((.(((.........(((((......))))))))...)))
2721;2790;5;0;-4.96;0;3.81;14;24;3.1e-05;..(.....)..((((..((....)).)))).........(((.........((((........)))))))......
2722;2808;5;0;-4.955;0;2.69;18;23;3e-05;...........((((.(((....)))))))......((.(((.........(((((.(...)))))))))...)).
2723;2809;5;0;-4.955;0;2.75;18;26;3e-05;...........((((.(((....)))))))......((.(((.........((((.((...)))))))))...)).
2724;2834;5;0;-4.946;0;5.0;17;19;3e-05;..(.....)..((((.(((....)))))))...((.....))....(.(..(((((......)))))..).)....
2725;2851;5;0;-4.948;0;2.71;16;19;3e-05;...........((((.(((....)))))))......((.(((..........((((......)))).)))...)).
2726;2870;5;0;-4.944;0;4.82;15;18;3e-05;..(.....)..((((.(((....)))))))....(.....).......(..(((((......)))))..)......
2727;2911;5;0;-4.931;0;3.29;17;23;2.9e-05;.....(..((.(((..(((....))).)))..))..)..(((.........(((((......))))))))......
2728;2931;5;0;-4.929;0;4.67;12;27;2.9e-05;...........((((.(((....))))))).........(((.........((...)).........)))......
2729;2938;5;0;-4.922;0;28.06;16;49;2.9e-05;......((..((.((((((.(((....(((.........)))...........))).)).)))).))..)).....
2730;2945;5;0;-4.924;0;5.5;12;37;2.9e-05;..(.....).....(((....)))...............(((.........(((((......))))))))......
2731;2965;5;0;-4.919;0;4.55;15;29;2.9e-05;..(.....)..((((.(((....))))))).........(((.....((..((........))..)))))......
