,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
212,.......((.(((......))).)).............((......))........((......))..........,9,-4.873,24,0,0.000342
213,.......((.(((......))).))....((.......)).......(((....)))..((.((.......)))).,14,-4.873,19,0,0.000342
214,.......((.(((......))).))....((.......))........((....))....................,9,-4.86,17,0,0.000335
215,.......((.(((......))).)).....(((.(((.((......))..))).)))........(........).,14,-4.858,28,0,0.000334
216,..((...))..(((......))).......((((...(((.......(((....)))...........))))))).,15,-4.857,14,0,0.000333
217,..........(((......))).......((.......)).......(((....)))...................,8,-4.856,19,0,0.000332
218,.......((.(((......))).))..((((.......)))).((((..................)))).......,13,-4.851,32,0,0.000330
219,.......((.(((......))).))....((.......)).......(((....))).......(.........).,11,-4.85,16,0,0.000329
220,.......((.(((......))).))..((((.......)))).....((((.....((......)).....)))).,15,-4.85,29,0,0.000329
221,.......((.(((......))).))....((.......)).......(((....)))..(..............).,11,-4.843,16,0,0.000325
222,.......((.(((......))).)).....((((...(((......(.((....))...)........))))))).,15,-4.843,4,0,0.000325
223,.......(((((((((((.(((((....))).......)).)))))))........))))................,16,-4.842,48,0,0.000325
224,...(((.((..(((......)))..))...)))....(((.......(((....)))...........))).....,14,-4.836,25,0,0.000321
225,.......((.(((......))).))..((((.......)))).....(((....)))....(......).......,13,-4.835,20,0,0.000321
226,...(((.((.(((......))).)).....))).....(....)...(((....))).....(.(...).).....,14,-4.835,20,0,0.000321
227,..........(((......))).....((((.......)))).(((((((....)))........)))).......,14,-4.828,30,0,0.000317
228,.......((.(((......))).)).....(.....)..........(((....)))...................,9,-4.823,15,0,0.000315
229,.......((.(((......))).)).............(....)...(((....)))............(....).,10,-4.82,15,0,0.000313
230,.......((.(((......))).)).....(((....(((..(....(((....))).........).))).))).,15,-4.82,4,0,0.000313
231,.......((.(((......))).))....((.......)).......(((....))).....(......)......,11,-4.819,16,0,0.000312
232,.......((.(((......))).))....((.......))......((((....)))..)................,11,-4.818,17,0,0.000312
233,.......((.(((......))).))....((.......)).......(((....)))..((...(...)....)).,13,-4.817,18,0,0.000312
234,.......((.(((.(...)))).))..((((.......)))).....(((....)))...................,13,-4.817,21,0,0.000312
235,.......((.(((......))).))..((((.......))))...(((.((.....((......))..)).)))..,16,-4.816,31,0,0.000311
