,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
256,...((((...........))))..........(((...)))...((((......))))...(....).,12,-6.082,19,0,0.000367
257,...((((.(((....))))))).((((.................((((......))))....))))..,15,-6.08,10,0,0.000365
258,.(.((((.(((....)))))))..)...((....))....(..(((((......)))))..)......,16,-6.076,20,0,0.000363
259,...((((...........)))).((((((......((.....))((((......))))..))))))..,16,-6.072,16,0,0.000360
260,.....((((....)))).......(((((...((.....))...((((......))))..)))))...,15,-6.072,17,0,0.000360
261,...((((.(((....))))))).......(.(((.(((...)))((((......)))).))).)....,18,-6.072,23,0,0.000360
262,...((((..((....)).))))...((((...((.....))...((((......))))..))))....,16,-6.072,4,0,0.000360
263,...((((..((....)).)))).((((((......(((...)))((((......))))..))))))..,19,-6.066,14,0,0.000357
264,...((((..((....)).))))..(((((...((.....))....(((......)))...)))))...,16,-6.063,4,0,0.000355
265,...((((...........))))......((....))........((((......))))...(....).,11,-6.062,24,0,0.000354
266,...((((.(((....)))))))......................(((........)))..........,10,-6.061,16,0,0.000354
267,...((((.(((....)))))))......................((((......)))).((...))..,13,-6.059,16,0,0.000352
268,...((((..((....)).)))).((((.....((.....))...((((......))))....))))..,16,-6.055,8,0,0.000350
269,...((.(((....)))....))..(((((...((.....))...((((......))))..)))))...,16,-6.044,13,0,0.000344
270,...((((...........))))..(...)...((.....))...((((......))))..........,11,-6.043,16,0,0.000343
271,...((((.(((....)))))))..(((((...((.....))...((..........))..)))))...,16,-6.043,4,0,0.000343
272,...((((.(((....)))))))......((....))....(..(((((......)))))...).....,15,-6.037,19,0,0.000340
273,...((((..((....)).))))..(...)...(((...)))...((((......))))..........,14,-6.037,14,0,0.000340
274,...((((.(.....)...))))..(((((...((.....))...((((......))))..)))))...,16,-6.034,7,0,0.000338
275,...((((..(......).))))..........((.....))...((((......))))..........,11,-6.033,14,0,0.000337
276,...((((...........)))).....(((.(((.........(((((......))))))))...))),15,-6.032,28,0,0.000337
277,...(((..(((....))).))).......(.(((.........(((((......)))))))).)....,15,-6.032,21,0,0.000337
278,...((((..((....)).)))).......((.....))......((((......))))..........,12,-6.028,20,0,0.000335
279,...((((.(.......).))))..(((((...((.....))...((((......))))..)))))...,16,-6.019,6,0,0.000329
280,...((((.(((....)))))))..(((((...((.....))...(((.(.....))))..)))))...,18,-6.017,3,0,0.000328
281,...((((.(((....))))))).((((((..(...........)((((......))))..))))))..,18,-6.016,8,0,0.000328
282,...((((.(((....)))))))..((.((...(((...)))...((((......))))..)).))...,18,-6.016,4,0,0.000328
283,...((((.(((....)))))))......((....))....((..((((......)))).....))...,15,-6.016,18,0,0.000328
284,...((((.(((....)))))))...((.....))......(..(((((......)))))..)......,15,-6.014,16,0,0.000327
